imo_num,pos_speed,pos_lat,pos_lon,pos_navState
8009026,12.1,-51.58172167,-73.99540333,0
7627962,12.2,-45.089195,-73.63081167,0
8120686,0,-41.52044833,-73.03686667,0
8905426,17.1,20.73730667,-73.93792167,0
5264510,0,40.80491833,-73.79574,5
7517507,0,45.52366667,-73.543895,5
7902233,0,45.53314,-73.54090833,5
8119285,12.3,45.91251167,-73.214345,0
8311118,14.8,15.33034667,-72.08199,0
8302246,10.6,20.52093667,-72.66239167,0
8025680,9.1,46.26403167,-72.69127667,0
8764468,0,10.35986333,-71.43780333,1
8311132,2.3,31.483105,-71.23600167,0
7006314,0,46.82227667,-71.208195,0
7413218,0,46.83128667,-71.19468333,0
7510846,0,46.807435,-71.20277167,5
6810811,0,12.521,-70.04333333,5
7382976,0.4,12.35511833,-70.30440833,1
8512956,0,12.48007167,-69.99858667,5
8916607,0,18.47476667,-69.881425,5
8903935,16.7,20.02834333,-69.97997333,0
8835217,0,44.3865,-68.79616667,5
6714586,12.7,48.84283333,-68.22233333,0
7401021,0,48.84349667,-67.57351167,5
6705937,15.5,49.30316333,-67.14827667,0
7929308,0,17.93668167,-66.158695,5
8009088,0,10.89612833,-64.09506333,5
8902371,0.4,18.24498,-64.9791,5
8807442,11.8,-52.54653333,-63.662165,0
7533628,14.9,-46.81526833,-63.30740667,0
8908193,12.9,12.02525,-63.96317,0
8819926,13.6,21.67131667,-63.46573333,0
7700726,0,8.39384,-62.65579167,1
8907424,12.6,21.764505,-62.76133833,0
7910149,0.1,9.94542,-61.58262833,1
8500680,0,10.65069833,-61.51902333,1
8912376,0,16.23286833,-61.54228667,5
7310260,0,47.38016,-61.85341667,5
8921470,0.2,-45.16915667,-60.199755,2
8600909,11,-32.88797167,-60.68225667,0
8917388,0,46.21,-60.24316667,5
8801802,0,-62.48666667,-59.70833333,1
8226739,0.1,-62.48116833,-59.70757333,0
8908076,0.1,-62.47640833,-59.72526167,1
7801738,0.1,-3.172435,-59.94750667,1
7603502,13.5,45.33383333,-59.07458333,0
8904496,10,-52.51166667,-58.54166667,8
8517061,8.1,-43.80165,-58.97288167,0
8801814,2.8,-42.29905167,-58.08620667,0
8709951,4.2,-40.89852,-58.631455,3
7345930,3.9,-34.32578333,-58.48955,3
8869581,0,-34.62753667,-58.34142833,0
8916229,2.3,-42.30991167,-57.942745,0
7922116,0,-25.273365,-57.6458,0
8701040,0.1,-35.0422,-56.0211,1
7302914,0.1,-34.90262,-56.21169833,0
8716966,0,-34.89306667,-56.2173,5
7407324,0.3,-32.24837333,-51.91111,0
8807662,15.5,-32.89018667,-51.380495,0
8816156,14.6,37.59845167,-49.17985667,0
7527306,0.3,-1.11536667,-48.52788333,1
7931985,0,-1.537955,-48.75262167,5
7504598,0,-1.52385,-48.78976667,1
8312643,16.5,-0.70156667,-48.41561833,0
8911073,16.5,24.77723667,-48.02287333,0
8322026,0,-26.465,-46.52833333,1
8617108,0,-23.91819,-46.36563667,5
8414790,0,-23.97743,-46.29131833,5
6703343,0,-23.83663833,-45.42309333,1
7903029,13.5,1.635015,-45.75694167,0
7801764,0,-23.12507667,-44.42936167,0
7801714,6.7,-23.99298333,-44.50153333,0
8617079,0,-22.86554833,-43.12785167,5
8617081,0,-22.86605667,-43.12744667,5
8617093,0,-22.866515,-43.13076833,1
7801726,0,-22.80514833,-43.15126667,5
7380693,0.2,-25.010635,-42.65365833,1
8613877,0.1,-25.39356,-42.76138833,5
8919348,0,-25.54375,-42.8399,5
7325899,0.2,-24.30100167,-42.71416667,5
8906913,102.3,-24.635,-42.41,1
7423081,0.1,-59.44116667,-41.06116667,3
8410720,0,-24.125,-41.885,5
7822122,0.2,-23.08448333,-41.01186167,15
8715027,0.1,-23.13783667,-41.07568,15
7385124,0.1,-23.51305833,-41.06404833,15
8912261,11.4,-23.91348833,-40.65984167,0
8506684,0.1,-22.8583,-40.35833667,0
8762874,0.1,-22.42827833,-40.028635,5
